metric,mean,sample_std,min,max
macro_f1,0.0719002672682001,0.0016378079245004825,0.07092629545538577,0.07379115807823819
micro_f1,0.06594897148020594,0.0017094827321865514,0.06471829495204229,0.06790087537077764
macro_iou,0.0531040415478239,0.00115841299353442,0.052290176515262604,0.0544302881808078
far_gt_01pct,0.20309050772626933,0.021288412275922642,0.17880794701986755,0.2185430463576159
complete_miss,0.3162037037037037,0.027440076875439697,0.2916666666666667,0.3458333333333333
mean_retention,0.9920462924023207,0.008055708816414212,0.9855404719880962,1.001056821048358
