method_key,method,development_patch_f1,development_patch_far_gt_01pct,internal_macro_precision,internal_macro_recall,internal_macro_f1,internal_macro_f1_ci_low,internal_macro_f1_ci_high,internal_macro_iou,internal_micro_f1,internal_micro_iou,internal_far_gt_01pct,internal_complete_miss,internal_model_seconds_per_image,internal_wall_seconds_per_image,training_seconds,target_optimizer_updates,source_pool_images_required,fcd_macro_f1,fcd_micro_f1,scd_macro_f1,scd_micro_f1,test_macro_f1,test_micro_f1,mean_source_retention
compute_matched_direct,Compute-matched Direct FT,0.078361233627652,0.9602649006622517,0.0286824572223124,0.13734950995582246,0.03545688802589624,0.030656547443805086,0.04050319399414921,0.019407840578456417,0.038033973339578524,0.01938564318787844,1.0,0.002777777777777778,3.3206298199701414,3.8921184881905804,3423.2837862879996,600,0,0.22650690791117345,0.2268520074691423,0.09331890162719272,0.08985155553239854,0.1523749798756242,0.13682785108680867,0.30475640445918756
joint_full_source,Joint training (full source pool),0.08929939413083895,0.2980132450331126,0.10720201501562655,0.10480283783389821,0.07214745775744195,0.058157479811207405,0.08641411016105477,0.052870557178539716,0.06656657084495288,0.03442920239257678,0.24503311258278146,0.2986111111111111,2.982730927462701,3.4595839430757795,3879.7963719249997,600,120000,0.48972579874892763,0.5705483605521899,0.5017998845163327,0.5946001554856795,0.5636903101371954,0.6965484231294945,0.9900049298864847
lwf,LwF,0.0845636779362201,0.9403973509933775,0.04132868634976587,0.12015779131929259,0.04392442696749151,0.03736841770953354,0.05104997477970748,0.02524124019392648,0.0419587408638933,0.021428936018644273,0.9933774834437086,0.002777777777777778,3.0522057987094975,3.5257396648071317,2589.519370046,600,0,0.30699443869421905,0.31477779399800176,0.1625168429245603,0.16745639321407377,0.24423550192114987,0.24839565058146376,0.45841814144451015
mixed_replay,"Mixed replay (2,000 source images)",0.09092749238136984,0.31125827814569534,0.11483615746543999,0.1046965907680131,0.07379115807823819,0.059467758347556104,0.08839129513822666,0.0544302881808078,0.06790087537077764,0.03514357752416461,0.2185430463576159,0.2916666666666667,3.0785813467439156,3.6161218813180036,3554.569186923,600,2000,0.4964564366260443,0.5786232508110336,0.5047179834925484,0.5992215981355774,0.5714719490658855,0.711410513161668,1.0010568210483581
