key,method,source_memory_images,macro_f1,micro_f1,macro_iou,far_gt_01pct,complete_miss,wall_seconds_per_page,fcd_macro_f1,fcd_micro_f1,scd_macro_f1,scd_micro_f1,test_macro_f1,test_micro_f1,mean_retention
replay_500,Mixed replay (500),500,0.07240866218992655,0.06756421315507383,0.053018910750588,0.25165562913907286,0.2638888888888889,3.305861471126291,0.4955374624212962,0.5724754851676631,0.5007273053731548,0.5905684012458936,0.5659091250165894,0.6934322594851083,0.9945923483436521
replay_1000,"Mixed replay (1,000)",1000,0.07277847373582412,0.06710954487212008,0.05390000138093865,0.2052980132450331,0.3402777777777778,3.7281947053777227,0.4905960323832837,0.5834802236089681,0.5053033159408196,0.6066431709428797,0.566718682948912,0.7168124171658384,0.9946390624304615
replay_2000_seed11,"Mixed replay (2,000), seed 20260811",2000,0.07379115807823819,0.06790087537077764,0.0544302881808078,0.2185430463576159,0.2916666666666667,3.6161218813180036,0.4964564366260443,0.5786232508110336,0.5047179834925484,0.5992215981355774,0.5714719490658855,0.711410513161668,1.001056821048358
replay_2000_seed21,"Mixed replay (2,000), seed 20260821",2000,0.07092629545538577,0.06471829495204229,0.0525916599474013,0.17880794701986755,0.3458333333333333,3.7352333341113613,0.48181815354669516,0.5759253718046815,0.5043364088925713,0.6051415103681844,0.5625193897591031,0.7186575072017788,0.9855404719880962
replay_2000_seed31,"Mixed replay (2,000), seed 20260831",2000,0.07098334827097634,0.06522774411779787,0.052290176515262604,0.2119205298013245,0.3111111111111111,2.7979987201010306,0.4902297355391967,0.5752425788964645,0.5016183984256732,0.5964152587397726,0.562507609378909,0.6978277257523818,0.989541584170508
random_split_replay_2000,"Random image split replay (2,000)",2000,0.08040222198400608,0.07897953406482491,0.06090066750367691,0.26490066225165565,0.31197771587743733,3.7717920062761703,,,,,,,
